id,title,address,street,neighborhood,city,state,country,postal_code,latitude,longitude,place_id,status,extracted_postal_code,notes
138,HH Power Sport Rental Inc,,,,Key West,key West Florida,United States of America,33045,24.5652431,-81.7731656,ChIJ1edtlqex0YgRnHLyR8A7RBQ,DISCARDED,,
586,San Carlos de Bariloche,"Río Negro Province, Argentina",Río Negro Province,,San Carlos de Bariloche,R8400,Argentina,,-41.1334722,-71.3102778,ChIJ5WDIIBV7GpYRZZp7y5euEII,PENDING,,
